,PERMNO,year,ret,price
302,10074,1993,0.315819654,13.25390667
303,10074,1994,-0.179617166,10.41666667
304,10074,1995,-0.912158167,5.171875
305,10075,1990,0.09397636,12.83333333
306,10075,1991,0.741182255,17.71875
307,10075,1992,-0.135263841,14.73958333
308,10075,1993,-0.137804764,11.55729167
309,10075,1994,-0.02022116,9.541666667
310,10075,1995,0.689944291,13.66666667
311,10075,1996,-0.015626673,15.29166667
312,10075,1997,0.563489567,27
313,10075,1998,0.48984761,25.4375
314,10078,1990,-0.180146429,27.84375
315,10078,1991,-0.062779346,28.77083333
316,10078,1992,0.133970995,31.35416667
317,10078,1993,-0.303796455,25.51041667
318,10078,1994,1.351517297,34.39583333
319,10078,1995,1.427832516,57.89583333
320,10078,1996,0.264330573,42.15364583
321,10078,1997,0.16708576,42.73697917
322,10078,1998,2.171223426,73.09895833
323,10078,1999,1.640653827,90.24088583
324,10078,2000,-0.654267874,56.58791667
325,10078,2001,-0.681297204,10.0725
326,10078,2002,-0.071856103,3.555166667
327,10078,2003,-0.068816628,4.23475
328,10078,2004,-0.138568293,4.256666667
329,10078,2005,0.112602245,4.259166667
330,10078,2006,0.267468901,5.410008333
331,10078,2007,-0.482890671,12.46833333
332,10078,2008,-0.152575583,6.863333333
333,10078,2009,0.01626959,8.933333333
334,10079,1990,1.562498931,2.28125
335,10079,1991,0.90243945,16.3125
336,10079,1992,-0.051281367,22.95833333
337,10079,1993,-0.547297268,7.666666667
338,10079,1994,-0.044776274,6.421875
339,10080,1990,-0.230769607,-1.875
340,10080,1991,-0.050000252,-3.125
341,10080,1992,0.026316331,-1.864583333
342,10080,1993,1.86E-07,-2.90625
343,10080,1994,0.064102025,-3.432291667
344,10080,1995,-0.216866886,-2.703125
345,10080,1996,-0.246153947,-2.21875
346,10080,1997,-0.15306039,-0.979166667
347,10080,1998,-0.204819139,-1.6640625
348,10080,1999,-0.227272736,0.265625
349,10080,2000,0.035293831,0.834479167
350,10080,2001,0.660605125,-0.001583333
351,10080,2002,0.186130833,-1.218333333
352,10080,2003,-0.353845421,1.17725
353,10087,1990,0.159658396,16.21875
354,10087,1991,-0.110415709,17.48958333
355,10087,1992,-0.429843297,10.03125
356,10087,1993,0.912392627,12.16666667
357,10087,1994,-0.198673142,11.44791667
358,10087,1995,-0.161906421,9.541666667
359,10087,1996,0.293801765,12.13020833
360,10087,1997,-0.171725392,8.729166667
361,10087,1998,-0.452319154,4.950520833
362,10087,1999,-0.103842853,2.028645833
363,10087,2000,0.713178188,4.71875
364,10089,1990,-0.043478406,0.854166667
365,10089,1991,-0.38636345,1.598958333
366,10089,1992,0.592593123,0.796875
367,10089,1993,0.279066858,2.552083333
368,10089,1994,1.509090409,5.348958333
369,10089,1995,-0.231883716,8.526041667
370,10089,1996,-0.49056685,3.104166667
371,10089,1997,1.22E-06,4.171875
372,10089,1998,0.111111455,2.434895833
373,10089,1999,2.16666526,6.520833333
374,10089,2000,-0.578946721,9.042708333
375,10089,2001,-0.639999943,3.5325
376,10089,2002,-0.027779017,1.092083333
377,10089,2003,-0.051428383,1.619916667
378,10089,2004,-0.927710829,0.94
379,10090,1990,-0.372611762,-3.354166667
380,10090,1991,4.65E-07,-1.541666667
381,10090,1992,0.562498499,3.546875
382,10090,1993,1.079999214,15.09375
383,10090,1994,-0.34615367,7.807291667
384,10090,1995,0.367647,11.625
385,10092,1990,-0.536585192,1.786458333
386,10092,1991,1.000001757,3.927083333
387,10092,1992,1.552636087,7.697916667
388,10092,1993,-0.546392355,8.8125
389,10092,1994,-0.340910027,3.165365
390,10092,1995,-0.310345009,1.119791667
391,10092,1996,0.200000412,0.979166667
392,10092,1997,1.833338164,3.130208333
393,10092,1998,2.132352845,14.41666667
394,10092,1999,1.936616973,35.80208333
395,10092,2000,-0.265227404,15.25520833
396,10092,2001,0.080938639,20.49416667
397,10092,2002,-0.101448583,19.66416667
398,10092,2003,0.28602304,23.57666667
399,10092,2004,-0.168896493,19.85583333
400,10092,2005,-0.184607927,17.10166667
401,10092,2006,-0.074646438,17.31
402,10092,2007,-0.505999788,12.52916667
403,10092,2008,-0.717948542,3.681666667
404,10092,2009,-0.650430598,1.395509091
405,10094,1990,0.452381057,6.104166667
406,10094,1991,0.868854723,16.42708333
407,10094,1992,-0.368420622,12.0625
408,10094,1993,-0.611110828,7.479166667
409,10094,1994,0.607144101,4.942708333
410,10094,1995,1.377779258,6.942708333
411,10094,1996,1.257009984,22.09895833
412,10094,1997,0.236025321,22.9875
413,10104,1990,-0.632432189,9.03125
414,10104,1991,0.794117467,14.45833333
415,10104,1992,2.22950436,29.80208333
416,10104,1993,0.522846073,40.14583333
417,10104,1994,0.545000794,38.703125
418,10104,1995,0.531552736,42.078125
419,10104,1996,0.277336448,41.953125
420,10104,1997,-0.268609411,31.15885417
421,10104,1998,1.26717096,34.09375
422,10104,1999,3.528623757,65.4700525
423,10104,2000,-0.547955412,37.25020833
424,10104,2001,-0.501579163,13.19833333
425,10104,2002,0.268216924,11.02816667
426,10104,2003,-0.006662926,12.21666667
427,10104,2004,0.106452024,12.30333333
428,10104,2005,0.097726556,13.2025
429,10104,2006,0.360246909,17.72
430,10104,2007,0.065449204,20.79833333
431,10104,2008,0.022639526,18.88916667
432,10104,2009,0.010642488,22.98979167
433,10104,2010,0.544381934,30.12604167
434,10104,2011,-0.090332668,29.11291667
435,10104,2012,0.043668421,32.43625
436,10104,2013,0.337644561,37.065
437,10104,2014,0.006659748,41.90833333
438,10104,2015,0.031478748,38.54
439,10104,2016,0.244148144,42.2
440,10107,1990,0.344571689,82.26041667
441,10107,1991,0.541285097,101.1354167
442,10107,1992,0.257141959,85.29166667
443,10107,1993,0.173296085,76.88541667
444,10107,1994,0.750606183,66.921875
